Brand,Feature,Topic Word Density,Positive,Negative,Neutral,Compound
Apple,battery,10,0.5257753628215676,0.07857528976502856,0.6122544375197004,0.583885117201687
Apple,camera,3,1.029839658139988,0.660667775882283,0.9432955025348262,0.971810130472439
Apple,charge,2,1.2520544471864603,0.7668154981290763,1.1655289557591066,1.1938367837286623
Apple,memory,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Apple,phone,45,8.303515974720595,3.776686113041708,8.390032215297477,8.361607018132037
Apple,price,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Apple,screen,8,0.08134578472862306,0.13245649136847737,0.16781560857628497,0.13932891906238629
Apple,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Apple,speaker,1,1.4742692362329326,0.8723313886958294,1.3877343314782418,1.4161148827983125
BLU,battery,16,1.3188580494686106,0.8064453851716122,0.5721597601723508,1.4224569049814206
BLU,camera,8,0.1888129879053971,0.08570094704548512,0.5189040122650855,0.10784231553655776
BLU,charge,2,1.3196220147540276,0.7548106962083081,1.3371948222168766,1.2556924538317549
BLU,memory,4,0.9426485065924008,0.5317741131540338,1.0644218597312312,0.8732433716089739
BLU,phone,50,7.726404209490018,4.598699128774317,5.209215889912887,7.926857206716395
BLU,price,7,0.3772439931680855,0.19690332273260203,0.6552764547553357,0.2991925795546619
BLU,screen,21,2.2611245734183023,1.3643527586473183,1.2540781276338913,2.378956779258514
BLU,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
BLU,speaker,1,1.5080530200167164,0.8660130718954251,1.4735953422122718,1.447042717849859
BlackBerry,battery,9,0.09036057509654875,0.41867624242679546,0.4591478019629094,0.10935099041712082
BlackBerry,camera,2,1.3395800916427978,0.8533764382946163,1.1501705604446806,1.2986896879278074
BlackBerry,charge,2,1.3395800916427978,0.8533764382946163,1.1501705604446806,1.2986896879278074
BlackBerry,memory,2,1.3395800916427978,0.8533764382946163,1.1501705604446806,1.2986896879278074
BlackBerry,phone,35,4.54939056217934,1.1956537000765217,6.4365959498302825,4.308300505685469
BlackBerry,price,1,1.5179763096429764,0.9159277746186195,1.3800691725736012,1.4684156119911715
BlackBerry,screen,8,0.26886829073297713,0.4812275787507988,0.22924918983398862,0.2790769144804853
BlackBerry,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
BlackBerry,speaker,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
HTC,battery,16,1.426230273177468,0.4703109313900996,1.1307055700258706,1.4777749839354062
HTC,camera,7,0.3303034883067886,0.344120104182024,0.4109179274766356,0.27505378146565
HTC,charge,2,1.3061308007677643,0.7971434187710174,1.2673941444259023,1.2489034168692206
HTC,memory,1,1.5013631618417098,0.8874953490167998,1.4386669258116398,1.4435224764618781
HTC,phone,50,8.061900596966604,3.5466993815069885,6.954625919759274,8.09934903472746
HTC,price,3,1.1110099373300695,0.7061596568451944,1.09609328553502,1.0540329114631355
HTC,screen,11,0.45040296071649194,0.017287616801106163,0.2742293530766036,0.5039253485318353
HTC,sound,1,1.5013631618417098,0.8874953490167998,1.4386669258116398,1.4435224764618781
HTC,speaker,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Huawei,battery,12,0.582416162036624,0.3091938529797882,0.5897082008881026,0.5129773978152148
Huawei,camera,7,0.3670977082693254,0.22723124337454303,0.32682579956675306,0.383426927052776
Huawei,charge,1,1.506603550745465,0.8704358936557082,1.4266497536094926,1.459112116894365
Huawei,memory,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Huawei,phone,41,6.089841904610882,3.4197012138188603,5.905566095019061,5.712122482049562
Huawei,price,4,0.9368506295073952,0.5488335685151255,0.8767518153406956,0.9212695219735705
Huawei,screen,13,0.7722966365705639,0.41660523858666243,0.7729981544759863,0.6922582627888131
Huawei,sound,1,1.506603550745465,0.8704358936557082,1.4266497536094926,1.459112116894365
Huawei,speaker,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
LG,battery,10,0.2527176516450443,0.1589934219301758,0.10756856188786428,0.3377196658564521
LG,camera,8,0.1371895823215956,0.32263782706064903,0.4080540219518248,0.057553152851116424
LG,charge,4,0.916781054982375,0.6505584690016359,1.0089968645746008,0.8478473444528262
LG,memory,1,1.50158615711421,0.8957091608573255,1.4597250546705418,1.440756572514179
LG,phone,50,8.049412861706593,3.1170538390794915,5.902084484381057,8.242673148380966
LG,price,3,1.11167892314757,0.7320647557268524,1.159239594606581,1.0454837538066104
LG,screen,17,1.617114226437659,0.41470974354654133,0.9441305483359975,1.7211745313329418
LG,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
LG,speaker,1,1.50158615711421,0.8957091608573255,1.4597250546705418,1.440756572514179
Microsoft,battery,9,0.08981960508363157,0.810236375251855,0.9515710871994764,0.03442013801581352
Microsoft,camera,6,0.505577772491964,0.2144191009737226,0.09773415573385867,0.5692453831754816
Microsoft,charge,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Microsoft,memory,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Microsoft,phone,32,4.654867326071946,5.379643085304297,7.497729101782934,4.064398066661078
Microsoft,price,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Microsoft,screen,10,0.28828539760882976,1.0086315227845524,1.2361927568563973,0.14360349789064866
Microsoft,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Microsoft,speaker,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Motorola,battery,14,0.6760741764867177,0.2442906987356348,0.5019940748144888,0.6749085016623357
Motorola,camera,8,0.340784266114299,0.5583110437157321,0.40314045855141434,0.31654234068113907
Motorola,charge,3,1.1880548039788963,0.8205211909325134,1.157414556772143,1.1427932836029393
Motorola,memory,3,1.1880548039788963,0.8205211909325134,1.157414556772143,1.1427932836029393
Motorola,phone,49,6.607413932083899,1.5905485001017952,5.781884684854443,6.458413656301511
Motorola,price,4,1.0185783968787268,0.7680791614891571,1.0065541216269682,0.9773419383678374
Motorola,screen,11,0.16764495518620945,0.4009849553856632,0.04944084688410985,0.1793088033973121
Motorola,sound,1,1.5270076181792351,0.9254052498192261,1.4591073495573472,1.4731930824462887
Motorola,speaker,2,1.3575312110790658,0.8729632203758698,1.3082469144121724,1.3079931830246139
Nokia,battery,11,0.10686222526156523,0.3692178625836298,0.0402106270445227,0.23431955969044263
Nokia,camera,8,0.5403650350019987,0.0021236564801356567,0.46833642549857546,0.6172715335400779
Nokia,charge,1,1.5519830886992603,0.8552719333347376,1.467249826049456,1.5106585086469424
Nokia,memory,1,1.5519830886992603,0.8552719333347376,1.467249826049456,1.5106585086469424
Nokia,phone,47,5.0953944868961365,4.778771157585842,5.097130489373236,4.361104126505182
Nokia,price,1,1.5519830886992603,0.8552719333347376,1.467249826049456,1.5106585086469424
Nokia,screen,11,0.10686222526156523,0.3692178625836298,0.0402106270445227,0.23431955969044263
Nokia,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Nokia,speaker,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Posh Mobile,battery,14,0.9409925602169827,2.355696664630764,1.027941901194428,0.4405610035481797
Posh Mobile,camera,9,0.0009394708239591885,1.1653257794345806,0.08582929355229267,0.30195848350236093
Posh Mobile,charge,3,1.1313025071275895,0.26324564913684795,1.0447114511192988,1.1928310004749534
Posh Mobile,memory,2,1.319733512390278,0.5014461925120928,1.2331115106436095,1.3414354762104326
Posh Mobile,phone,42,6.215834233573507,9.022152720737417,6.3037893504934726,4.598217528567037
Posh Mobile,price,6,0.5661209889757745,0.4507241493088462,0.4794270400309304,0.7475204648953708
Posh Mobile,screen,13,0.7525615549542942,2.1174961212555194,0.8395418416701173,0.29195652781270043
Posh Mobile,sound,1,1.5080530200167164,0.7396467358873376,1.421539647673066,1.4897885061324843
Posh Mobile,speaker,1,1.5080530200167164,0.7396467358873376,1.421539647673066,1.4897885061324843
Samsung,battery,15,0.9301772895007219,0.5974846078782393,0.7285233863259855,1.237644232112424
Samsung,camera,5,0.8208930878072793,0.8508491115744545,0.8304800868614013,0.679630095270025
Samsung,charge,4,0.9960558743562044,0.876122378776072,0.9863663954275672,0.8714832509149837
Samsung,memory,2,1.3462699498178046,0.9273007448593474,1.2981670900650446,1.2549381163914732
Samsung,phone,49,6.884151065256675,0.26433380369691717,6.029107117657954,7.756879836839605
Samsung,price,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Samsung,screen,13,0.5799632140391218,0.6480311422814743,0.416722691688508,0.8541893666359341
Samsung,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Samsung,speaker,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Sony,battery,14,0.3535115148151451,0.18914583377210512,0.2786655988895457,0.3563266560500653
Sony,camera,16,0.6464158052441883,0.35594939730278063,0.5484623458297995,0.6412147626630904
Sony,charge,1,1.5500876288830083,0.8944454974972447,1.4750553724798223,1.4958232056547371
Sony,memory,2,1.4035797348503618,0.811043715731907,1.340171037762268,1.3535048752549383
Sony,phone,47,5.185819069894977,2.9401409686681683,4.7304382721768885,5.0581119213253976
Sony,price,1,1.5500876288830083,0.8944454974972447,1.4750553724798223,1.4958232056547371
Sony,screen,16,0.6464158052441883,0.35594939730278063,0.5484623458297995,0.6412147626630904
Sony,sound,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
Sony,speaker,0,1.6964840252794047,0.9778472792625824,1.609967784702522,1.6383929818679632
